postal_code,category,number_licensed
L6S 1Z6,NON-MOTORIZED REFRESHMENT VEHICLE OWNER,1
L6S 2G9,BUILDING RENOVATOR,1
L6S 2J3,TAXICAB OWNER,1
L6S 2J8,BUILDING RENOVATOR,1
L6S 2L7,TOW TRUCK OWNER,3
L6S 2S9,BUILDING RENOVATOR,1
L6S 3B1,BUILDING RENOVATOR,1
L6S 3B7,LIMOUSINE OWNER,1
L6S 3C8,BUILDING RENOVATOR,1
L6S 3C8,DRIVEWAY PAVING CONTRACTOR,1
L6S 3E7,BUILDING RENOVATOR,1
L6S 3H1,TAXICAB OWNER,1
L6S 3H7,LIMOUSINE OWNER,2
L6S 3H7,LIMOUSINE SERVICE COMPANY,1
L6S 3H7,TAXICAB OWNER,1
L6S 3J2,EATING ESTABLISHMENT,1
L6S 3K6,LIMOUSINE OWNER,5
L6S 3K6,LIMOUSINE SERVICE COMPANY,1
L6S 3K8,PRIVATE PARKING ENFORCEMENT AGENCY,1
L6S 3L9,DRIVING SCHOOL OPERATOR (B),1
L6S 3N3,BUILDING RENOVATOR,1
L6S 3S4,BUILDING RENOVATOR,1
L6S 3S8,BUILDING RENOVATOR,1
L6S 3V1,PLUMBING CONTRACTOR,1
L6S 3Y5,BUILDING RENOVATOR,1
L6S 3Y8,BUILDING RENOVATOR,2
L6S 4B2,PLUMBING CONTRACTOR,1
L6S 4C9,PLUMBING CONTRACTOR,1
L6S 4E9,PLUMBING CONTRACTOR,1
L6S 4W9,BUILDING RENOVATOR,1
L6S 4X8,BUILDING RENOVATOR,1
L6S 4Y4,RETAIL STORE (FOOD),1
L6S 5C3,BUILDING RENOVATOR,1
L6S 5G8,TORONTO TAXICAB OWNER,1
L6S 5K7,BUILDING RENOVATOR,1
L6S 5N4,BUILDING RENOVATOR,1
L6S 5N5,BUILDING RENOVATOR,1
L6S 5N5,HEATING CONTRACTOR,3
L6S 5N5,PRIVATE PARKING ENFORCEMENT AGENCY,1
L6S 5N9,PRIVATE PARKING ENFORCEMENT AGENCY,1
L6S 5P1,BUILDING RENOVATOR,1
L6S 5T3,HEATING CONTRACTOR,1
L6S 5T4,PLUMBING & HEATING CONTRACTOR,1
L6S 5T4,PLUMBING CONTRACTOR,1
L6S 5V9,TEMPORARY SIGN PROVIDER,1
L6S 5X2,DRIVING SCHOOL OPERATOR (B),1
L6S 5X8,HEATING CONTRACTOR,3
L6S 5Z4,LIMOUSINE OWNER,2
L6S 5Z4,LIMOUSINE SERVICE COMPANY,1
L6S 6J3,MOTORIZED REFRESHMENT VEHICLE OWNER,1
L6S 6M1,TOW TRUCK OWNER,1
L6S 6S4,BUILDING RENOVATOR,1
L6T,AUCTIONEER,2
L6T,BUILDING RENOVATOR,4
L6T,DRIVING INSTRUCTOR (V),13
L6T,DRIVING SCHOOL OPERATOR (V),1
L6T,HAWKER/PEDLAR ON FOOT,2
L6T,HAWKER/PEDLAR WITH MOTOR VEHICLE,1
L6T,HEATING CONTRACTOR,1
L6T,LIMOUSINE OWNER,3
L6T,MASTER HEATING INSTALLER,5
L6T,MASTER PLUMBER,9
L6T,MOTORIZED REFRESHMENT VEHICLE OWNER,1
L6T,PLUMBING CONTRACTOR,2
L6T,TAXICAB OWNER,14
L6T,TORONTO TAXICAB OWNER,1
L6T,TOW TRUCK OWNER,2
L6T,TRANSIENT TRADER,1
L6T 0A7,BUILDING RENOVATOR,1
L6T 0G5,BUILDING RENOVATOR,1
L6T 0G6,TAXICAB OWNER,2
L6T 1A4,BUILDING RENOVATOR,1
L6T 1A7,PLUMBING & HEATING CONTRACTOR,3
L6T 1B5,BUILDING RENOVATOR,2
L6T 1L2,BUILDING RENOVATOR,1
L6T 1W8,BUILDING RENOVATOR,1
L6T 1Z3,BUILDING RENOVATOR,1
L6T 1Z6,BUILDING RENOVATOR,1
L6T 2K5,PLUMBING CONTRACTOR,1
L6T 3S1,BUILDING RENOVATOR,1
L6T 3Y3,BUILDING RENOVATOR,1
L6T 3Z8,BUILDING RENOVATOR,3
L6T 3Z8,TOW TRUCK OWNER,1
L6T 4A2,BUILDING RENOVATOR,1
L6T 4B6,BUILDING RENOVATOR,1
L6T 4J2,BUILDING RENOVATOR,1
L6T 4J2,MOTORIZED REFRESHMENT VEHICLE OWNER,2
L6T 4J4,BUILDING RENOVATOR,1
L6T 4K3,MOTORIZED REFRESHMENT VEHICLE OWNER,3
L6T 4L2,DRIVING SCHOOL OPERATOR (B),1
L6T 4L3,BUILDING RENOVATOR,1
L6T 4L6,BUILDING RENOVATOR,1
L6T 4L9,DRIVING SCHOOL OPERATOR (B),2
L6T 4M4,PLUMBING CONTRACTOR,1
L6T 4P8,HEATING CONTRACTOR,4
L6T 4S9,PLUMBING CONTRACTOR,1
L6T 4T2,BUILDING RENOVATOR,1
L6T 4W9,BUILDING RENOVATOR,1
L6T 4X1,HEATING CONTRACTOR,2
L6T 4Y2,BUILDING RENOVATOR,1
L6T 4Z6,HEATING CONTRACTOR,1
L6T 4Z7,PRIVATE PARKING ENFORCEMENT AGENCY,2
L6T 4Z8,BUILDING RENOVATOR,1
L6T 5B7,BUILDING RENOVATOR,1
L6T 5B9,BUILDING RENOVATOR,1
L6T 5B9,HEATING CONTRACTOR,1
L6T 5C7,HEATING CONTRACTOR,2
L6T 5C8,HEATING CONTRACTOR,1
L6T 5C9,PLUMBING CONTRACTOR,1
L6T 5E7,TAXICAB OWNER,1
L6T 5G1,PLUMBING CONTRACTOR,1
L6T 5G6,HEATING CONTRACTOR,2
L6T 5G7,HEATING CONTRACTOR,2
L6T 5G9,PLUMBING CONTRACTOR,3
L6T 5H8,LIMOUSINE OWNER,12
L6T 5H8,LIMOUSINE SERVICE COMPANY,4
L6T 5J5,HEATING CONTRACTOR,2
L6T 5J6,BUILDING RENOVATOR,1
L6T 5K1,BUILDING RENOVATOR,1
L6T 5K1,HEATING CONTRACTOR,2
L6T 5K1,PLUMBING & HEATING CONTRACTOR,1
L6T 5K1,PLUMBING CONTRACTOR,1
L6T 5K3,PLUMBING CONTRACTOR,2
L6T 5L7,HEATING CONTRACTOR,3
L6T 5M8,BUILDING RENOVATOR,1
L6T 5R4,BUILDING RENOVATOR,2
L6T 5T1,DRIVING SCHOOL OPERATOR (B),1
L6T 5V4,HEATING CONTRACTOR,1
L6T 5V4,PLUMBING CONTRACTOR,1
L6V,BUILDING RENOVATOR,17
L6V,DRIVING INSTRUCTOR (V),9
L6V,HAWKER/PEDLAR ON FOOT,5
L6V,HEATING CONTRACTOR,1
L6V,LIMOUSINE OWNER,3
L6V,MASTER HEATING INSTALLER,6
L6V,MASTER PLUMBER,6
L6V,NON-MOTORIZED REFRESHMENT VEHICLE OWNER,2
L6V,PEDICAB OWNER,19
L6V,PLUMBING CONTRACTOR,4
L6V,TAXICAB OWNER,17
L6V,TOW TRUCK OWNER,6
L6V 1B9,DRIVING SCHOOL OPERATOR (B),1
L6V 1C4,DRIVING SCHOOL OPERATOR (B),1
L6V 1W2,HEATING CONTRACTOR,1
L6V 2X1,TOW TRUCK OWNER,9
L6V 2Z6,TOW TRUCK OWNER,23
L6V 3G4,BUILDING RENOVATOR,1
L6V 3H2,LIMOUSINE SERVICE COMPANY,1
L6V 3H3,BUILDING RENOVATOR,1
L6V 3J9,TOW TRUCK OWNER,1
L6V 4B1,LIMOUSINE OWNER,2
L6V 4C7,BUILDING RENOVATOR,1
L6V 4L9,BUILDING RENOVATOR,1
L6V 4L9,DRIVING SCHOOL OPERATOR (B),2
L6V 4P1,BUILDING RENOVATOR,1
L6V 4P2,LIMOUSINE SERVICE COMPANY,1
L6V 4P2,TAXICAB BROKER,1
L6V 4P3,TOW TRUCK OWNER,1
L6W,BUILDING RENOVATOR,9
L6W,DRIVING INSTRUCTOR (V),5
L6W,HAWKER/PEDLAR ON FOOT,3
L6W,HEATING CONTRACTOR,2
L6W,LIMOUSINE OWNER,1
L6W,MASTER HEATING INSTALLER,7
L6W,MASTER PLUMBER,12
L6W,NON-MOTORIZED REFRESHMENT VEHICLE OWNER,2
L6W,TAXICAB OWNER,19
L6W,TOW TRUCK OWNER,2
L6W 1A5,BUILDING RENOVATOR,1
L6W 1C2,BUILDING RENOVATOR,1
L6W 1C9,BUILDING RENOVATOR,1
L6W 1J3,BUILDING RENOVATOR,1
L6W 1M4,PLUMBING CONTRACTOR,1
L6W 2P2,BUILDING RENOVATOR,1
L6W 2P2,PLUMBING CONTRACTOR,1
L6W 3E7,LIMOUSINE OWNER,4
L6W 3G4,BUILDING RENOVATOR,1
L6W 3J3,PLUMBING CONTRACTOR,1
L6W 3J6,TOW TRUCK OWNER,2
L6W 3J7,TOW TRUCK OWNER,5
L6W 3K1,BUILDING RENOVATOR,1
L6W 3K1,DRAIN CONTRACTOR,1
L6W 3K1,PLUMBING CONTRACTOR,1
L6W 3K6,TOW TRUCK OWNER,5
L6W 3K7,HEATING CONTRACTOR,3
L6W 3L7,HEATING CONTRACTOR,2
L6W 3P3,DRIVING SCHOOL OPERATOR (B),1
L6W 3P4,BUILDING RENOVATOR,2
L6W 3R6,PLUMBING & HEATING CONTRACTOR,2
L6W 3R6,PLUMBING CONTRACTOR,1
L6W 3T7,DRIVING SCHOOL OPERATOR (B),1
L6W 3V1,BUILDING RENOVATOR,1
L6W 3Z3,LIMOUSINE OWNER,1
L6W 3Z3,LIMOUSINE SERVICE COMPANY,1
L6W 4C2,PLUMBING CONTRACTOR,1
L6W 4K3,HEATING CONTRACTOR,1
L6W 4N9,PLUMBING & HEATING CONTRACTOR,1
L6W 4S6,PLUMBING & HEATING CONTRACTOR,1
L6W 4S6,PLUMBING CONTRACTOR,1
L6W 4T4,BUILDING RENOVATOR,1
L6W 4T8,DRIVING SCHOOL OPERATOR (B),1
L6W 4V4,DRIVING SCHOOL OPERATOR (B),2
L6X,BUILDING RENOVATOR,14
L6X,COLLECTOR OF SECOND HAND GOODS,1
L6X,DRIVING INSTRUCTOR (V),11
L6X,HAWKER/PEDLAR ON FOOT,2
L6X,HAWKER/PEDLAR WITH MOTOR VEHICLE,1
L6X,LIMOUSINE OWNER,12
L6X,MASTER HEATING INSTALLER,9
L6X,MASTER PLUMBER,16
L6X,MOTORIZED REFRESHMENT VEHICLE OWNER,3
L6X,NON-MOTORIZED REFRESHMENT VEHICLE OWNER,2
L6X,PLUMBING CONTRACTOR,1
L6X,TAXICAB OWNER,29
L6X,TORONTO TAXICAB OWNER,6
L6X 0L4,DRIVING SCHOOL OPERATOR (B),1
L6X 0V4,PLUMBING CONTRACTOR,1
L6X 1B1,PLUMBING CONTRACTOR,2
L6X 1B5,TOW TRUCK OWNER,6
L6X 1J6,HEATING CONTRACTOR,2
L6X 1P7,BUILDING RENOVATOR,1
L6X 1R5,DRIVING SCHOOL OPERATOR (B),1
L6X 1S6,BUILDING RENOVATOR,1
L6X 1S6,PLUMBING CONTRACTOR,1
L6X 2B1,MOBILE VENDING (FOOD TRUCK),1
L6X 2B1,MOTORIZED REFRESHMENT VEHICLE OWNER,1
L6X 2J8,HEATING CONTRACTOR,1
L6X 2L6,BUILDING RENOVATOR,1
L6X 2L6,PLUMBING CONTRACTOR,1
L6X 2M1,PLUMBING CONTRACTOR,1
L6X 2S7,BUILDING RENOVATOR,1
L6X 3B4,LIMOUSINE OWNER,1
L6X 3P3,PLUMBING CONTRACTOR,1
L6X 3T1,BUILDING RENOVATOR,1
L6X 4B1,TAXICAB OWNER,1
L6X 4C6,PLUMBING CONTRACTOR,1
L6X 4G5,BUILDING RENOVATOR,2
L6X 4K2,PLUMBING CONTRACTOR,1
L6X 4L6,TOW TRUCK OWNER,20
L6X 5A5,BILL DISTRIBUTOR,1
L6X 5C4,DRIVEWAY PAVING CONTRACTOR,1
L6X 5G9,TOW TRUCK OWNER,1
L6X 5P6,MOBILE VENDING (FOOD TRUCK),1
L6X 5P6,MOTORIZED REFRESHMENT VEHICLE OWNER,1
L6Y,AUCTIONEER,3
L6Y,BUILDING RENOVATOR,17
L6Y,DRAIN LAYER,1
L6Y,DRIVING INSTRUCTOR (V),17
L6Y,HAWKER/PEDLAR ON FOOT,8
L6Y,HAWKER/PEDLAR WITH MOTOR VEHICLE,3
L6Y,LIMOUSINE OWNER,23
L6Y,MASTER HEATING INSTALLER,5
L6Y,MASTER PLUMBER,13
L6Y,MOTORIZED REFRESHMENT VEHICLE OWNER,3
L6Y,PLUMBING CONTRACTOR,5
L6Y,TAXICAB OWNER,71
L6Y,TORONTO TAXICAB OWNER,2
L6Y,TOW TRUCK OWNER,1
L6Y 0C7,DRIVING SCHOOL OPERATOR (B),1
L6Y 0E1,BUILDING RENOVATOR,1
L6Y 0H8,BUILDING RENOVATOR,1
L6Y 0K1,BUILDING RENOVATOR,2
L6Y 0M4,HEATING CONTRACTOR,1
L6Y 0P6,DRIVING SCHOOL OPERATOR (B),1
L6Y 0P8,DRIVING SCHOOL OPERATOR (B),2
L6Y 0T7,DRAIN CONTRACTOR,1
L6Y 0W2,BUILDING RENOVATOR,1
L6Y 0Y5,LIMOUSINE OWNER,1
L6Y 0Z9,TOW TRUCK OWNER,1
L6Y 1T5,BUILDING RENOVATOR,1
L6Y 1V1,PLUMBING CONTRACTOR,1
L6Y 1Y7,BUILDING RENOVATOR,1
L6Y 1Z1,BUILDING RENOVATOR,1
L6Y 2C2,BUILDING RENOVATOR,1
L6Y 2E3,BUILDING RENOVATOR,2
L6Y 2P3,HEATING CONTRACTOR,1
L6Y 2R6,TOW TRUCK OWNER,3
L6Y 2R9,BUILDING RENOVATOR,1
L6Y 2T6,TOW TRUCK OWNER,2
L6Y 2W2,BUILDING RENOVATOR,1
L6Y 2X8,TOW TRUCK OWNER,4
L6Y 3B1,BUILDING RENOVATOR,1
L6Y 3C6,BUILDING RENOVATOR,1
L6Y 3H1,LIMOUSINE OWNER,1
L6Y 3H1,LIMOUSINE SERVICE COMPANY,1
L6Y 3H1,TAXICAB OWNER,1
L6Y 3L7,TAXICAB OWNER,3
L6Y 3M1,LIMOUSINE OWNER,1
L6Y 3M4,PLUMBING CONTRACTOR,1
L6Y 3M6,HEATING CONTRACTOR,1
L6Y 3N3,LIMOUSINE OWNER,2
L6Y 3N8,DRIVING SCHOOL OPERATOR (B),1
L6Y 3Z5,PLUMBING CONTRACTOR,1
L6Y 3Z7,TAXICAB OWNER,1
L6Y 4A2,TOW TRUCK OWNER,4
L6Y 4K2,BUILDING RENOVATOR,1
L6Y 4K4,TOW TRUCK OWNER,1
L6Y 4K5,TAXICAB OWNER,2
L6Y 4L5,BUILDING RENOVATOR,1
L6Y 4M1,LIMOUSINE OWNER,6
L6Y 4M1,LIMOUSINE SERVICE COMPANY,1
L6Y 4M2,MOBILE VENDING (FOOD TRUCK),1
L6Y 4M2,MOTORIZED REFRESHMENT VEHICLE OWNER,1
L6Y 4P3,PLUMBING CONTRACTOR,1
L6Y 5C9,LIMOUSINE OWNER,5
L6Y 5C9,LIMOUSINE SERVICE COMPANY,1
L6Y 5E2,CLOTHING DROP BOX OPERATOR,1
L6Y 5J9,BUILDING RENOVATOR,1
L6Y 5K2,BUILDING RENOVATOR,1
L6Y 5K5,HEATING CONTRACTOR,1
L6Y 5N5,BUILDING RENOVATOR,1
L6Y 5P1,TOW TRUCK OWNER,1
L6Y 5P7,PLUMBING CONTRACTOR,1
L6Y 5R4,LIMOUSINE OWNER,1
L6Y 5R9,LIMOUSINE OWNER,1
L6Y 5R9,LIMOUSINE SERVICE COMPANY,2
L6Y 6B6,SHORT TERM RENTAL COMPANY,1
L6Y 6H6,DRIVING SCHOOL OPERATOR (B),1
L6Z,AUCTIONEER,1
L6Z,BUILDING RENOVATOR,4
L6Z,DRAIN CONTRACTOR,1
L6Z,DRAIN LAYER,1
L6Z,DRIVING INSTRUCTOR (V),7
L6Z,LIMOUSINE OWNER,10
L6Z,MASTER HEATING INSTALLER,11
L6Z,MASTER PLUMBER,21
L6Z,PLUMBING CONTRACTOR,6
L6Z,TAXICAB OWNER,12
L6Z 1B4,BUILDING RENOVATOR,1
L6Z 1M1,PLUMBING CONTRACTOR,2
L6Z 1M3,HEATING CONTRACTOR,1
L6Z 1M4,BUILDING RENOVATOR,1
L6Z 1M5,BUILDING RENOVATOR,1
L6Z 2C2,HEATING CONTRACTOR,1
L6Z 2T6,BUILDING RENOVATOR,1
L6Z 3A2,PLUMBING CONTRACTOR,1
L6Z 3J2,TAXICAB OWNER,2
L6Z 3K2,PLUMBING CONTRACTOR,1
L6Z 3K5,PLUMBING CONTRACTOR,1
L6Z 3L6,PLUMBING CONTRACTOR,1
L6Z 3P9,TAXICAB OWNER,1
L6Z 3V9,LIMOUSINE SERVICE COMPANY,1
L6Z 3Y5,BUILDING RENOVATOR,1
L6Z 3Z5,TAXICAB OWNER,2
L6Z 3Z9,BUILDING RENOVATOR,1
L6Z 4B1,BUILDING RENOVATOR,1
L6Z 4G6,MOTORIZED REFRESHMENT VEHICLE OWNER,1
L6Z 4P2,DRAIN CONTRACTOR,1
L6Z 4R8,TOW TRUCK OWNER,1
L6Z 4X1,BUILDING RENOVATOR,1
L7A,BUILDING RENOVATOR,16
L7A,COLLECTOR OF SECOND HAND GOODS,1
L7A,DRIVING INSTRUCTOR (V),10
L7A,DRIVING SCHOOL OPERATOR (V),1
L7A,HAWKER/PEDLAR ON FOOT,6
L7A,HAWKER/PEDLAR WITH MOTOR VEHICLE,1
L7A,HEATING CONTRACTOR,1
L7A,LIMOUSINE OWNER,11
L7A,MASTER HEATING INSTALLER,4
L7A,MASTER PLUMBER,11
L7A,MOBILE VENDING (FOOD TRUCK),7
L7A,MOTORIZED REFRESHMENT VEHICLE OWNER,6
L7A,NON-MOTORIZED REFRESHMENT VEHICLE OWNER,1
L7A,PLUMBING CONTRACTOR,3
L7A,TAXICAB OWNER,37
L7A,TORONTO TAXICAB OWNER,6
L7A,TOW TRUCK OWNER,1
L7A 0J8,TAXICAB OWNER,2
L7A 0J9,BUILDING RENOVATOR,1
L7A 0K7,BUILDING RENOVATOR,1
L7A 0M2,DRIVING SCHOOL OPERATOR (B),1
L7A 1B4,PLUMBING CONTRACTOR,4
L7A 1B7,PLUMBING CONTRACTOR,1
L7A 1C3,PLUMBING & HEATING CONTRACTOR,1
L7A 1C7,TEMPORARY SIGN PROVIDER,1
L7A 1E2,HEATING CONTRACTOR,1
L7A 1P5,PLUMBING CONTRACTOR,1
L7A 1R6,BUILDING RENOVATOR,1
L7A 1W9,BUILDING RENOVATOR,1
L7A 2E7,BUILDING RENOVATOR,1
L7A 2P5,PLUMBING CONTRACTOR,1
L7A 2R3,BUILDING RENOVATOR,1
L7A 2X1,TAXICAB OWNER,1
L7A 2Z7,BUILDING RENOVATOR,1
L7A 3B8,MOBILE VENDING (FOOD TRUCK),1
L7A 3B8,MOTORIZED REFRESHMENT VEHICLE OWNER,1
L7A 3H1,BUILDING RENOVATOR,1
L7A 3J8,DRIVEWAY PAVING CONTRACTOR,2
L7A 3T1,BUILDING RENOVATOR,1
L7A 3Y4,LIMOUSINE OWNER,1
L7A 4H4,LIMOUSINE OWNER,1
L7A 4M8,BUILDING RENOVATOR,1
L7A 5A6,BUILDING RENOVATOR,1
L7B,AUCTIONEER,1
L7B,BUILDING RENOVATOR,9
L7B,DRAIN CONTRACTOR,5
L7B,DRAIN LAYER,3
L7B,DRIVING INSTRUCTOR (V),4
L7B,HEATING CONTRACTOR,1
L7B,LIMOUSINE OWNER,2
L7B,MASTER HEATING INSTALLER,13
L7B,MASTER PLUMBER,33
L7B,MOTORIZED REFRESHMENT VEHICLE OWNER,2
L7B,NON-MOTORIZED REFRESHMENT VEHICLE OWNER,1
L7B,PLUMBING CONTRACTOR,4
L7B,TAXICAB OWNER,9
L7B,TOW TRUCK OWNER,1
L7B 0A1,DRAIN CONTRACTOR,1
L7B 0A1,PLUMBING CONTRACTOR,2
L7B 0A2,BUILDING RENOVATOR,1
L7B 0A4,DRIVEWAY PAVING CONTRACTOR,3
L7B 0A4,PLUMBING CONTRACTOR,4
L7B 0A5,BUILDING RENOVATOR,1
L7B 0A6,PLUMBING CONTRACTOR,1
L7B 0A6,TOW TRUCK OWNER,2
L7B 0B1,LIMOUSINE OWNER,2
L7B 0B1,LIMOUSINE SERVICE COMPANY,1
L7B 0C2,TAXICAB OWNER,1
L7B 0C4,BUILDING RENOVATOR,1
L7B 0C7,BUILDING RENOVATOR,1
L7B 0E1,BUILDING RENOVATOR,1
L7B 0G4,PLUMBING CONTRACTOR,1
L7B 0M7,TAXICAB OWNER,7
L7B 0M8,TAXICAB OPERATOR,1
L7B 1A3,BUILDING RENOVATOR,2
L7B 1A3,HEATING CONTRACTOR,1
L7B 1B4,BUILDING RENOVATOR,3
L7B 1B5,BUILDING RENOVATOR,1
L7B 1B9,BUILDING RENOVATOR,1
L7B 1E1,BUILDING RENOVATOR,1
L7B 1E2,LIMOUSINE OWNER,1
L7B 1E2,LIMOUSINE SERVICE COMPANY,1
L7B 1E6,HEATING CONTRACTOR,1
L7B 1G8,DRIVEWAY PAVING CONTRACTOR,2
L7B 1H5,LIMOUSINE OWNER,1
L7B 1J3,PLUMBING CONTRACTOR,3
L7B 1J7,PLUMBING CONTRACTOR,1
L7B 1K4,BUILDING RENOVATOR,3
L7B 1K5,BUILDING RENOVATOR,1
L7B 1K5,HEATING CONTRACTOR,1
L7B 1K5,PLUMBING CONTRACTOR,2
L7B 1K8,BUILDING RENOVATOR,1
L7B 1K9,PLUMBING CONTRACTOR,1
L7B 1L1,BUILDING RENOVATOR,1
L7B 1N3,DRIVEWAY PAVING CONTRACTOR,4
L7C,AUCTIONEER,2
L7C,BUILDING RENOVATOR,6
L7C,DRAIN CONTRACTOR,2
L7C,DRIVEWAY PAVING CONTRACTOR,1
L7C,HEATING CONTRACTOR,1
L7C,LIMOUSINE OWNER,1
L7C,MASTER HEATING INSTALLER,16
L7C,MASTER PLUMBER,26
L7C,MOTORIZED REFRESHMENT VEHICLE OWNER,4
L7C,PLUMBING & HEATING CONTRACTOR,1
L7C,PLUMBING CONTRACTOR,5
L7C,TAXICAB OWNER,42
L7C,TORONTO TAXICAB OWNER,1
L7C,TOW TRUCK OWNER,1
L7C 0A1,TOW TRUCK OWNER,1
L7C 0C1,PLUMBING CONTRACTOR,1
L7C 0P5,PLUMBING CONTRACTOR,1
L7C 0R8,TOW TRUCK OWNER,2
L7C 0S4,HEATING CONTRACTOR,1
L7C 0S8,BUILDING RENOVATOR,1
L7C 0S8,DRAIN CONTRACTOR,1
L7C 0X1,DRIVEWAY PAVING CONTRACTOR,1
L7C 0X4,DRIVEWAY PAVING CONTRACTOR,1
L7C 1A3,PLUMBING CONTRACTOR,1
L7C 1E1,BUILDING RENOVATOR,1
L7C 1P8,HEATING CONTRACTOR,1
L7C 1X1,BUILDING RENOVATOR,1
L7C 1X1,DRIVEWAY PAVING CONTRACTOR,1
L7C 2C9,LIMOUSINE OWNER,1
L7C 2C9,LIMOUSINE SERVICE COMPANY,1
L7C 2G7,BUILDING RENOVATOR,1
L7C 2M2,PLUMBING CONTRACTOR,1
L7C 2P1,PLUMBING & HEATING CONTRACTOR,1
L7C 2P2,PLUMBING & HEATING CONTRACTOR,1
L7C 2W1,DRIVEWAY PAVING CONTRACTOR,1
L7C 2Z4,HEATING CONTRACTOR,1
L7C 2Z6,TAXICAB OWNER,1
L7C 3C3,PLUMBING CONTRACTOR,2
L7C 3C6,BUILDING RENOVATOR,1
L7C 3E8,MOTORIZED REFRESHMENT VEHICLE OWNER,4
L7C 3E8,NON-MOTORIZED REFRESHMENT VEHICLE OWNER,1
L7C 3R6,TOW TRUCK OWNER,3
L7C 3T4,BUILDING RENOVATOR,1
L7C 4A6,TOW TRUCK OWNER,2
L7C 4E7,TAXICAB OWNER,1
L7C 4E8,TOW TRUCK OWNER,16
L7E,BUILDING RENOVATOR,20
L7E,DRAIN CONTRACTOR,1
L7E,DRAIN LAYER,2
L7E,DRIVING INSTRUCTOR (V),13
L7E,MASTER HEATING INSTALLER,34
L7E,MASTER PLUMBER,44
L7E,MOTORIZED REFRESHMENT VEHICLE OWNER,4
L7E,NON-MOTORIZED REFRESHMENT VEHICLE OWNER,1
L7E,PLUMBING CONTRACTOR,9
L7E,TAXICAB OWNER,8
L7E,TORONTO TAXICAB OWNER,1
L7E,TOW TRUCK OWNER,3
L7E 0A9,BUILDING RENOVATOR,1
L7E 0B6,PLUMBING CONTRACTOR,1
L7E 0C6,DRIVEWAY PAVING CONTRACTOR,1
L7E 0E2,PLUMBING CONTRACTOR,1
L7E 0E3,PLUMBING CONTRACTOR,1
L7E 0K6,TAXICAB BROKER,2
L7E 0M3,PLUMBING CONTRACTOR,1
L7E 0M7,BUILDING RENOVATOR,1
L7E 0N5,PLUMBING CONTRACTOR,1
L7E 0N8,MOTORIZED REFRESHMENT VEHICLE OWNER,1
L7E 0Z3,BUILDING RENOVATOR,1
L7E 0Z8,BUILDING RENOVATOR,1
L7E 1B6,BUILDING RENOVATOR,1
L7E 1E7,PLUMBING CONTRACTOR,1
L7E 1G1,HEATING CONTRACTOR,1
L7E 1G1,PLUMBING & HEATING CONTRACTOR,1
L7E 1G1,PLUMBING CONTRACTOR,2
L7E 1H8,HEATING CONTRACTOR,1
L7E 1H9,HEATING CONTRACTOR,3
L7E 1J4,TOW TRUCK OWNER,6
L7E 1J7,BUILDING RENOVATOR,1
L7E 1K1,HEATING CONTRACTOR,2
L7E 1K4,TOW TRUCK OWNER,1
L7E 1K5,TOW TRUCK OWNER,7
L7E 1L8,MOTORIZED REFRESHMENT VEHICLE OWNER,1
L7E 1M1,HEATING CONTRACTOR,1
L7E 1M2,BUILDING RENOVATOR,1
L7E 1M4,LIMOUSINE OWNER,7
L7E 1M4,LIMOUSINE SERVICE COMPANY,2
L7E 1N2,PLUMBING CONTRACTOR,2
L7E 1P9,PLUMBING CONTRACTOR,1
L7E 1R6,BUILDING RENOVATOR,1
L7E 1S1,BUILDING RENOVATOR,1
L7E 1S3,BUILDING RENOVATOR,1
L7E 1S6,PLUMBING CONTRACTOR,1
L7E 1T2,PLUMBING CONTRACTOR,2
L7E 1T5,BUILDING RENOVATOR,1
L7E 1T6,HEATING CONTRACTOR,1
L7E 1T6,PLUMBING & HEATING CONTRACTOR,1
L7E 1V9,PLUMBING CONTRACTOR,2
L7E 1W4,BUILDING RENOVATOR,2
L7E 1X2,TOW TRUCK OWNER,3
L7E 1X4,PLUMBING CONTRACTOR,1
L7E 1Y5,BUILDING RENOVATOR,1
L7E 1Z1,BUILDING RENOVATOR,1
L7E 1Z2,PLUMBING CONTRACTOR,1
L7E 2A4,PLUMBING CONTRACTOR,1
L7E 2C4,PLUMBING CONTRACTOR,1
L7E 2E3,BUILDING RENOVATOR,1
L7E 2G7,BUILDING RENOVATOR,1
L7E 2H4,DRIVING SCHOOL OPERATOR (B),3
L7E 2H9,PLUMBING CONTRACTOR,1
L7E 2J1,HEATING CONTRACTOR,1
L7E 2J9,MOTORIZED REFRESHMENT VEHICLE OWNER,1
L7E 2M9,HEATING CONTRACTOR,1
L7E 2N9,BUILDING RENOVATOR,1
L7E 2R7,BUILDING RENOVATOR,1
L7E 2S9,TEMPORARY SIGN - MOBILE,1
L7E 2S9,TEMPORARY SIGN PROVIDER,1
L7E 2T8,DRAIN CONTRACTOR,1
L7E 2W2,BUILDING RENOVATOR,1
L7E 2W7,BUILDING RENOVATOR,1
L7E 2W7,PLUMBING & HEATING CONTRACTOR,1
L7E 2Y6,PLUMBING CONTRACTOR,1
L7E 2Y8,BUILDING RENOVATOR,1
L7E 2Z5,PLUMBING CONTRACTOR,1
L7E 3C7,TORONTO TAXICAB OWNER,5
L7E 3H5,PLUMBING & HEATING CONTRACTOR,1
L7E 3H9,PLUMBING CONTRACTOR,2
